attempt_id,start_time,end_time,end_source,duration_seconds,status,connected_after_retry,certificate_selection_recovered,portal,gateway,gateway_ip,username,mode,certificate_store_lookup,portal_auth,gateway_auth,saml_used,auth_cookie_used,certificate_requested,certificate_exchange_count,portal_certificate_exchange_count,gateway_certificate_exchange_count,selected_identities,selected_identity_sequence,selected_identity_transition,portal_selected_identities,gateway_selected_identities,selected_identity_stores,initial_selected_identity,initial_selected_identity_store,initial_selected_identity_status,final_portal_selected_identity,final_portal_selected_identity_store,final_gateway_selected_identity,final_gateway_selected_identity_store,successful_path_certificate_identity,successful_path_certificate_store,successful_path_certificate_phase,successful_machine_certificate,successful_user_certificate,machine_certificate_selection_attempted,user_certificate_selection_attempted,machine_certificate_selected,user_certificate_selected,client_certificate_write_count,tunnel_connected,auth_failures,certificate_selection_failures,warnings,start_source
21,2026-07-15 20:06:47.061,2026-07-15 20:07:49.830,PanGPS.log.old:110700,62.769,connected,False,False,globalprotect.wei-aws-lab.com,globalprotect.wei-aws-lab.com,100.50.81.108,jsmith-pa,On-Demand,user-and-machine,cas via IDP,saml via IDP,True,True,False,0,0,0,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,True,,,,PanGPS.log.old:107560
22,2026-07-15 21:35:41.742,2026-07-15 21:36:05.364,PanGPS.log.old:118414,23.622,connected,False,False,globalprotect.wei-aws-lab.com,globalprotect.wei-aws-lab.com,100.50.81.108,jsmith-pa,On-Demand,user-and-machine,cas via IDP,saml via IDP,True,True,False,0,0,0,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,True,,,,PanGPS.log.old:115474
23,2026-07-16 10:52:07.920,2026-07-16 10:52:27.056,PanGPS.log:8576,19.136,connected,False,False,globalprotect.wei-aws-lab.com,globalprotect.wei-aws-lab.com,100.50.81.108,richardcross,On-Demand,user-and-machine,cas via IDP,saml via IDP,True,True,False,0,0,0,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,True,,,,PanGPS.log:5700
24,2026-07-16 13:15:59.571,2026-07-16 13:17:00.134,PanGPS.log:12387,60.563,incomplete,False,False,globalprotect.wei-aws-lab.com,,,,On-Demand,,,,True,False,False,0,0,0,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,False,,,,PanGPS.log:12091
25,2026-07-16 19:04:33.920,2026-07-16 19:06:06.425,PanGPS.log:21470,92.505,connected,False,False,globalprotect.wei-aws-lab.com,globalprotect.wei-aws-lab.com,100.50.81.108,richardcross,On-Demand,user-and-machine,cas via IDP,saml via IDP,True,True,True,4,3,1,local-rich-cross,local-rich-cross -> local-rich-cross -> local-rich-cross -> local-rich-cross,local-rich-cross,local-rich-cross,local-rich-cross,user,local-rich-cross,user,selected,local-rich-cross,user,local-rich-cross,user,local-rich-cross,user,gateway,False,True,False,True,False,True,1,True,,,,PanGPS.log:18287
26,2026-07-16 19:06:13.247,2026-07-16 19:06:19.030,PanGPS.log:24833,5.783,connected,False,False,globalprotect.wei-aws-lab.com,globalprotect.wei-aws-lab.com,100.50.81.108,richardcross,On-Demand,user-and-machine,cas via IDP,saml via IDP,True,True,True,1,1,0,local-rich-cross,local-rich-cross,local-rich-cross,local-rich-cross,,user,local-rich-cross,user,selected,local-rich-cross,user,,,local-rich-cross,user,portal,False,True,False,True,False,True,1,True,,,,PanGPS.log:22299
27,2026-07-16 19:06:20.820,2026-07-16 19:06:21.209,PanGPS.log:25617,0.389,incomplete,False,False,globalprotect.wei-aws-lab.com,,,,On-Demand,,,,True,False,True,1,1,0,local-rich-cross,local-rich-cross,local-rich-cross,local-rich-cross,,user,local-rich-cross,user,selected,local-rich-cross,user,,,,,,False,False,False,True,False,True,0,False,,,,PanGPS.log:25418
28,2026-07-16 19:42:28.599,2026-07-16 19:43:55.030,PanGPS.log:28769,86.431,connected,False,False,globalprotect.wei-aws-lab.com,globalprotect.wei-aws-lab.com,100.50.81.108,richardcross,On-Demand,user-and-machine,cas via IDP,saml via IDP,True,True,True,3,2,1,local-rich-cross,local-rich-cross -> local-rich-cross -> local-rich-cross,local-rich-cross,local-rich-cross,local-rich-cross,user,local-rich-cross,user,selected,local-rich-cross,user,local-rich-cross,user,local-rich-cross,user,gateway,False,True,False,True,False,True,1,True,,,,PanGPS.log:25759
29,2026-07-16 20:25:06.891,2026-07-16 20:25:59.289,PanGPS.log:33574,52.398,connected,True,False,globalprotect.wei-aws-lab.com,globalprotect.wei-aws-lab.com,100.50.81.108,richardcross,On-Demand,user-and-machine,cas via IDP,saml via IDP,True,True,True,3,2,1,local-rich-cross,local-rich-cross -> local-rich-cross -> local-rich-cross,local-rich-cross,local-rich-cross,local-rich-cross,user,local-rich-cross,user,selected,local-rich-cross,user,local-rich-cross,user,local-rich-cross,user,gateway,False,True,False,True,False,True,1,True,Auth failed empty password for gateway globalprotect.wei-aws-lab.com | msgtype = invalid-gateway-credential,,,PanGPS.log:30039
30,2026-07-16 20:52:10.890,2026-07-16 20:58:36.926,PanGPS.log:46462,386.036,connected,True,True,globalprotect.wei-aws-lab.com,globalprotect.wei-aws-lab.com,100.50.81.108,richardcross,On-Demand,machine,cas via IDP,saml via IDP,True,True,True,10,5,5,local-rich-cross; rich-mac,local-rich-cross -> local-rich-cross -> rich-mac -> rich-mac -> rich-mac -> rich-mac -> rich-mac -> rich-mac -> rich-mac -> rich-mac,local-rich-cross -> rich-mac,local-rich-cross; rich-mac,rich-mac,user; machine,local-rich-cross,user,selected,rich-mac,machine,rich-mac,machine,rich-mac,machine,gateway,True,False,True,True,True,True,3,True,Auth failed empty password for gateway globalprotect.wei-aws-lab.com | msgtype = invalid-gateway-credential,gateway identity rich-mac: system keychain identity was locked,Certificate identity rich-mac could not be used because its keychain was locked,PanGPS.log:38035
